test_family,family,model,outcome,weight_col,formula,term,coef,se,pval,nobs
residual_queue_bridge,binary,baseline,established_cross_tag_share,n_new_answerers_profiles,established_cross_tag_share ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id),high_post,0.03271567950493574,0.008463096350477237,0.00011077704197299714,1145
residual_queue_bridge,binary,with_residual_queue,established_cross_tag_share,n_new_answerers_profiles,established_cross_tag_share ~ high_post + residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),high_post,0.030861059897784284,0.007913586285823547,9.628946204709955e-05,1145
residual_queue_bridge,binary,with_residual_queue,established_cross_tag_share,n_new_answerers_profiles,established_cross_tag_share ~ high_post + residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),residual_queue_complexity_index_mean,0.038736489775648905,0.03715900258508661,0.29720200378512174,1145
residual_queue_bridge,binary,baseline,first_answer_1d_rate_closure,first_answer_1d_denom_closure,first_answer_1d_rate_closure ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id),high_post,-0.03253075449220413,0.010482813974831643,0.001914102180839473,1147
residual_queue_bridge,binary,with_residual_queue,first_answer_1d_rate_closure,first_answer_1d_denom_closure,first_answer_1d_rate_closure ~ high_post + residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),high_post,-0.03486096802685016,0.00881702577771501,7.691199741339768e-05,1147
residual_queue_bridge,binary,with_residual_queue,first_answer_1d_rate_closure,first_answer_1d_denom_closure,first_answer_1d_rate_closure ~ high_post + residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),residual_queue_complexity_index_mean,0.04228417611310764,0.07084497666482846,0.5506042165382266,1147
residual_queue_bridge,binary,baseline,accepted_vote_30d_rate,accepted_vote_30d_denom,accepted_vote_30d_rate ~ high_post + C(primary_tag):time_index + C(primary_tag) + C(month_id),high_post,0.009133906533247872,0.002893942036226702,0.0015983037997761972,1140
residual_queue_bridge,binary,with_residual_queue,accepted_vote_30d_rate,accepted_vote_30d_denom,accepted_vote_30d_rate ~ high_post + residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),high_post,0.005506295436466963,0.0027505070424931727,0.04529332148616206,1140
residual_queue_bridge,binary,with_residual_queue,accepted_vote_30d_rate,accepted_vote_30d_denom,accepted_vote_30d_rate ~ high_post + residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),residual_queue_complexity_index_mean,0.06600946980994,0.01448395350934388,5.178562784957769e-06,1140
residual_queue_shift,continuous,baseline,residual_queue_complexity_index_mean,n_questions,residual_queue_complexity_index_mean ~ exposure_post + C(primary_tag):time_index + C(primary_tag) + C(month_id),exposure_post,0.021233910191753382,0.012063497689915891,0.07837753319668257,1147
residual_queue_shift,continuous,baseline,body_word_count_mean,n_questions,body_word_count_mean ~ exposure_post + C(primary_tag):time_index + C(primary_tag) + C(month_id),exposure_post,0.5987795880917117,1.3486954417710182,0.6570646635959877,1147
residual_queue_shift,continuous,baseline,tag_count_full_mean,n_questions,tag_count_full_mean ~ exposure_post + C(primary_tag):time_index + C(primary_tag) + C(month_id),exposure_post,0.05729673539418612,0.03124362656397511,0.06667336053082608,1147
residual_queue_shift,continuous,baseline,has_edit_mean,n_questions,has_edit_mean ~ exposure_post + C(primary_tag):time_index + C(primary_tag) + C(month_id),exposure_post,0.005728971859825925,0.0032727174671622282,0.08002786341259853,1147
residual_queue_bridge,continuous,baseline,brand_new_platform_share,n_new_answerers_profiles,brand_new_platform_share ~ exposure_post + C(primary_tag):time_index + C(primary_tag) + C(month_id),exposure_post,0.02118796227218082,0.003625517843067094,5.0925230443966966e-09,1145
residual_queue_bridge,continuous,with_residual_queue,brand_new_platform_share,n_new_answerers_profiles,brand_new_platform_share ~ exposure_post + residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),exposure_post,0.02081935267706883,0.003428865514029629,1.2649197199176724e-09,1145
residual_queue_bridge,continuous,with_residual_queue,brand_new_platform_share,n_new_answerers_profiles,brand_new_platform_share ~ exposure_post + residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),residual_queue_complexity_index_mean,0.022491986720208433,0.02543845254608846,0.37660296228423096,1145
residual_queue_bridge,continuous,baseline,low_tenure_existing_share,n_new_answerers_profiles,low_tenure_existing_share ~ exposure_post + C(primary_tag):time_index + C(primary_tag) + C(month_id),exposure_post,-0.03441061085818937,0.004566992491866067,4.897113700722579e-14,1145
residual_queue_bridge,continuous,with_residual_queue,low_tenure_existing_share,n_new_answerers_profiles,low_tenure_existing_share ~ exposure_post + residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),exposure_post,-0.03311721035959171,0.003992904967346761,1.0948940729176458e-16,1145
residual_queue_bridge,continuous,with_residual_queue,low_tenure_existing_share,n_new_answerers_profiles,low_tenure_existing_share ~ exposure_post + residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),residual_queue_complexity_index_mean,-0.07892129565840098,0.033376972607506626,0.018052318837682733,1145
residual_queue_bridge,continuous,baseline,established_cross_tag_share,n_new_answerers_profiles,established_cross_tag_share ~ exposure_post + C(primary_tag):time_index + C(primary_tag) + C(month_id),exposure_post,0.013222648586007345,0.004968137114563627,0.007779558954927312,1145
residual_queue_bridge,continuous,with_residual_queue,established_cross_tag_share,n_new_answerers_profiles,established_cross_tag_share ~ exposure_post + residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),exposure_post,0.012297857682521833,0.004715681150149321,0.009110899942234636,1145
residual_queue_bridge,continuous,with_residual_queue,established_cross_tag_share,n_new_answerers_profiles,established_cross_tag_share ~ exposure_post + residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),residual_queue_complexity_index_mean,0.05642930893814857,0.0421579999574183,0.18072711778620154,1145
residual_queue_bridge,continuous,baseline,first_answer_1d_rate_closure,first_answer_1d_denom_closure,first_answer_1d_rate_closure ~ exposure_post + C(primary_tag):time_index + C(primary_tag) + C(month_id),exposure_post,-0.013423604569789286,0.008641748087700763,0.12034105588988037,1147
residual_queue_bridge,continuous,with_residual_queue,first_answer_1d_rate_closure,first_answer_1d_denom_closure,first_answer_1d_rate_closure ~ exposure_post + residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),exposure_post,-0.013858084569559746,0.00757099508810768,0.06718748020274092,1147
residual_queue_bridge,continuous,with_residual_queue,first_answer_1d_rate_closure,first_answer_1d_denom_closure,first_answer_1d_rate_closure ~ exposure_post + residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),residual_queue_complexity_index_mean,0.02046221025493508,0.07192846613235676,0.7760425566201457,1147
residual_queue_bridge,continuous,baseline,accepted_vote_30d_rate,accepted_vote_30d_denom,accepted_vote_30d_rate ~ exposure_post + C(primary_tag):time_index + C(primary_tag) + C(month_id),exposure_post,0.001488425135396682,0.0027048235956319056,0.5821235855915077,1140
residual_queue_bridge,continuous,with_residual_queue,accepted_vote_30d_rate,accepted_vote_30d_denom,accepted_vote_30d_rate ~ exposure_post + residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),exposure_post,-3.7192264329625156e-05,0.002148061756261428,0.9861858483488328,1140
residual_queue_bridge,continuous,with_residual_queue,accepted_vote_30d_rate,accepted_vote_30d_denom,accepted_vote_30d_rate ~ exposure_post + residual_queue_complexity_index_mean + C(primary_tag):time_index + C(primary_tag) + C(month_id),residual_queue_complexity_index_mean,0.07184021435688447,0.015483682312707539,3.488527865914889e-06,1140
