tag_family,family,outcome,term,coef,se,pval,nobs
data_scripting,binary,accepted_vote_30d_rate,brand_new_platform_share,-0.012685255817108143,0.02052431238769471,0.5592499790994081,495
data_scripting,binary,first_answer_1d_rate_closure,high_post,-0.06478247622909106,0.012257559915494792,0.001856115283176149,497
data_scripting,binary,first_answer_1d_rate_closure,brand_new_platform_share,0.2783401868975527,0.0802115900075301,0.013302592717923329,497
data_scripting,continuous,any_answer_7d_rate,exposure_post,0.020059472985327884,0.03977444980158235,0.6320098983530197,497
data_scripting,continuous,any_answer_7d_rate,established_cross_tag_share,-0.12721800277308287,0.04681265981995256,0.034753449588470056,497
data_scripting,continuous,first_positive_answer_latency_mean,exposure_post,-28.186905980312492,36.50916895771815,0.46939231970540685,496
data_scripting,continuous,first_positive_answer_latency_mean,established_cross_tag_share,246.8823562861989,132.9826094356177,0.1127693730676537,496
data_scripting,continuous,accepted_vote_30d_rate,exposure_post,-0.018942642958332163,0.005827086700069037,0.017449018733457795,495
data_scripting,continuous,accepted_vote_30d_rate,brand_new_platform_share,0.0010566505576681904,0.022803211438621518,0.964544815721902,495
data_scripting,continuous,first_answer_1d_rate_closure,exposure_post,0.02844287396399195,0.04614043709662709,0.5602487938517513,497
data_scripting,continuous,first_answer_1d_rate_closure,brand_new_platform_share,0.2578375441801602,0.05987820112915549,0.005059301305903452,497
systems_infra,binary,any_answer_7d_rate,high_post,-9.071429759215105e-18,6.727257237948843e-18,0.23536976626429157,432
systems_infra,binary,any_answer_7d_rate,established_cross_tag_share,-0.013140223953380742,0.04126639169492194,0.7630339318393503,432
systems_infra,binary,first_positive_answer_latency_mean,high_post,-4.4118308643132465e-15,1.857720618716842e-14,0.8217039083660815,430
systems_infra,binary,first_positive_answer_latency_mean,established_cross_tag_share,-12.702343099519402,158.61808938431508,0.9392790650316596,430
systems_infra,binary,accepted_vote_30d_rate,high_post,-2.5383524492160727e-18,3.0816294588953896e-18,0.44760145377320837,428
systems_infra,binary,accepted_vote_30d_rate,brand_new_platform_share,-0.016649163307800557,0.04354034772778483,0.7178902747447927,428
systems_infra,binary,first_answer_1d_rate_closure,high_post,9.87949387946994e-18,9.427524931905075e-18,0.34265599476013475,432
systems_infra,binary,first_answer_1d_rate_closure,brand_new_platform_share,-0.03729117494226071,0.05261398131023147,0.5101363716111847,432
systems_infra,continuous,any_answer_7d_rate,exposure_post,0.001676470887911308,0.011365676133845,0.888498546369521,432
systems_infra,continuous,any_answer_7d_rate,established_cross_tag_share,-0.013603938458626424,0.04129696171713143,0.7551920090677355,432
systems_infra,continuous,first_positive_answer_latency_mean,exposure_post,64.98630929940786,23.223716660052887,0.03807111483504787,430
systems_infra,continuous,first_positive_answer_latency_mean,established_cross_tag_share,-30.472246362488818,163.08119246870422,0.8591208950709875,430
systems_infra,continuous,accepted_vote_30d_rate,exposure_post,-0.007037820412274552,0.004303039946913789,0.16286190966036312,428
systems_infra,continuous,accepted_vote_30d_rate,brand_new_platform_share,-0.01004486502450902,0.04400741009462243,0.8284899611208433,428
systems_infra,continuous,first_answer_1d_rate_closure,exposure_post,0.0003823095408247044,0.010495315828145318,0.9723517119539137,432
systems_infra,continuous,first_answer_1d_rate_closure,brand_new_platform_share,-0.03765054025722605,0.04763162124439874,0.4650849137239583,432
