window_days,donut_days,sample,outcome,coef,se,pval,nobs,n_disclosed,mean_outcome
21,1,matched_high_tags,first_answer_1d,-0.07219070936019671,0.2163576787189869,0.73863332434345,36359,109,0.6904480321240958
21,1,matched_high_tags,accepted_30d,0.0020217681840038657,0.16624544869050775,0.9902968901119297,36359,109,0.18465854396435546
21,3,matched_all_tags,first_answer_1d,0.23799512568866843,0.2194204960767522,0.27807531841622946,45167,122,0.6750282285739588
21,3,matched_all_tags,accepted_30d,-0.19837738509243366,0.10687677949107954,0.06343477942099067,45167,122,0.1901830982797175
21,3,matched_high_tags,first_answer_1d,0.06826478832800315,0.16411447659709888,0.6774404743927078,32621,93,0.6912111829802887
21,3,matched_high_tags,accepted_30d,-0.21466793434914377,0.08017196928626916,0.007415317890167655,32621,93,0.1850954906348671
21,5,matched_all_tags,first_answer_1d,0.7051346743318067,0.29717870297950577,0.017655581615825963,35569,100,0.6667884956001012
21,5,matched_all_tags,accepted_30d,-0.013150534400218884,0.0981613502702419,0.8934274385327335,35569,100,0.1889566757569794
21,5,matched_high_tags,first_answer_1d,0.5818080105311351,0.30793136700491475,0.05883717007852975,25332,74,0.6785488709932102
21,5,matched_high_tags,accepted_30d,0.04991559987235038,0.09894232693551451,0.6139157714715833,25332,74,0.18312805937154586
28,0,matched_all_tags,first_answer_1d,0.16918704607589094,0.08315287201062266,0.041886035889252264,71880,198,0.6741791875347802
28,0,matched_all_tags,accepted_30d,-0.17749073607549823,0.13586664576140542,0.19143020005979317,71880,198,0.18880077907623818
28,0,matched_high_tags,first_answer_1d,0.11340749329629238,0.06054571942984199,0.06105615939705717,51766,154,0.6918440675346753
28,0,matched_high_tags,accepted_30d,-0.1942560306772731,0.1591697085436781,0.2223006173150157,51766,154,0.18564308619557238
28,1,matched_all_tags,first_answer_1d,0.10656127916977348,0.12033621738794535,0.3758710770277496,66501,191,0.6743056495391047
28,1,matched_all_tags,accepted_30d,-0.14332371802067143,0.12246116930007055,0.24185591564212738,66501,191,0.19032796499300764
28,1,matched_high_tags,first_answer_1d,0.06408653649547925,0.11821416228035199,0.5877342402265684,47968,149,0.6910857238158773
28,1,matched_high_tags,accepted_30d,-0.1480171777095297,0.14557962133778582,0.3092753225261349,47968,149,0.18426867911941294
28,3,matched_all_tags,first_answer_1d,0.3460112937306819,0.10525142542888588,0.0010109062849727461,61248,170,0.6750261233019854
28,3,matched_all_tags,accepted_30d,-0.2598380558259641,0.1145043796918029,0.02325366216255466,61248,170,0.19043887147335423
28,3,matched_high_tags,first_answer_1d,0.27411361853392907,0.07272914905012452,0.00016392585778396434,44230,133,0.6917024643906851
28,3,matched_high_tags,accepted_30d,-0.3939881814618963,0.06325512518883138,4.707494573360895e-10,44230,133,0.18455799231290979
28,5,matched_all_tags,first_answer_1d,0.6898004254374317,0.08744471748430625,3.0604283740564027e-15,53868,148,0.6759300512363555
28,5,matched_all_tags,accepted_30d,-0.1522395091651205,0.15446153341292992,0.3243223766577312,53868,148,0.19007574069948763
28,5,matched_high_tags,first_answer_1d,0.6836867714637455,0.047358477665670196,3.0530225162945424e-47,39488,114,0.6908934359805511
28,5,matched_high_tags,accepted_30d,-0.311701468830197,0.061899822026518586,4.764055928706212e-07,39488,114,0.18433448136142624
35,0,matched_all_tags,first_answer_1d,0.12271017223287224,0.13203112936861597,0.35268009904867625,90592,276,0.6735694101024373
35,0,matched_all_tags,accepted_30d,-0.14498097950984257,0.1376090544853136,0.2920791379589077,90592,276,0.19056870363829034
35,0,matched_high_tags,first_answer_1d,0.03280443684385925,0.11707279833999144,0.7793198809959769,64882,218,0.6922104743996794
35,0,matched_high_tags,accepted_30d,-0.19250736989966905,0.15401834291911037,0.21133645164893666,64882,218,0.18803366110785735
35,1,matched_all_tags,first_answer_1d,0.06863534811234893,0.1680191921560838,0.6829087794027875,87067,269,0.6750203865988262
35,1,matched_all_tags,accepted_30d,-0.10376657234718806,0.12834214361388657,0.4187940664987546,87067,269,0.19282851137629642
35,1,matched_high_tags,first_answer_1d,-0.009883724808293838,0.16957094999250844,0.9535202908781713,63189,213,0.6922882147209166
35,1,matched_high_tags,accepted_30d,-0.1424859347277944,0.14200208744929346,0.3156643712528142,63189,213,0.18794410419535046
35,3,matched_all_tags,first_answer_1d,0.21302128424712086,0.16538944168031797,0.19774662961986633,81595,248,0.6754948219866413
35,3,matched_all_tags,accepted_30d,-0.16363412102867939,0.13268729009289626,0.21748947579501898,81595,248,0.19296525522397207
35,3,matched_high_tags,first_answer_1d,0.09948300009151975,0.13635271797214996,0.46563446635977135,59294,197,0.692683914055385
35,3,matched_high_tags,accepted_30d,-0.31094924038102806,0.08963138315203432,0.0005220097011343673,59294,197,0.18821465915606975
35,5,matched_all_tags,first_answer_1d,0.3789222401415615,0.18043024727543513,0.03571971492653542,74858,226,0.6751983755911192
35,5,matched_all_tags,accepted_30d,-0.05530815582497146,0.14707726871364127,0.7068809939030001,74858,226,0.19331267199230542
35,5,matched_high_tags,first_answer_1d,0.29915398432254875,0.17028220984898557,0.07894970413492307,54185,178,0.6921841838147089
35,5,matched_high_tags,accepted_30d,-0.20583836654144524,0.0841077530350326,0.014392403681199787,54185,178,0.18841007658946202
