sample,model,outcome,term,coef,se,pval,weight_col,nobs
high_complexity,with_recent_gap_first_vs_accepted,first_positive_answer_latency_mean,exposure_post,-44.957249087357944,29.7157634040832,0.1303027482066582,first_positive_answer_latency_denom,568
full,baseline,accepted_cond_any_answer_30d_rate,exposure_post,-0.004020690719831243,0.004309676903592879,0.35084846220006416,accepted_cond_any_answer_30d_denom,1138
full,with_first_recent_share,accepted_cond_any_answer_30d_rate,first_recent_share,-0.05143041717804618,0.012798039097718537,5.854074445499955e-05,accepted_cond_any_answer_30d_denom,1138
full,with_first_recent_share,accepted_cond_any_answer_30d_rate,exposure_post,-0.0030935982730082813,0.0040876978741600945,0.44916551195539567,accepted_cond_any_answer_30d_denom,1138
full,with_recent_gap_first_vs_accepted,accepted_cond_any_answer_30d_rate,recent_gap_first_vs_accepted,-0.07038470665862756,0.03605903057660838,0.05094650572172334,accepted_cond_any_answer_30d_denom,1134
full,with_recent_gap_first_vs_accepted,accepted_cond_any_answer_30d_rate,exposure_post,-0.003528102990039625,0.004229731955470197,0.40421350300382963,accepted_cond_any_answer_30d_denom,1134
full,with_accepted_incumbent_share,accepted_cond_any_answer_30d_rate,accepted_incumbent_share,-0.009751871954385871,0.02282448139202306,0.6691936640639519,accepted_cond_any_answer_30d_denom,1134
full,with_accepted_incumbent_share,accepted_cond_any_answer_30d_rate,exposure_post,-0.0045045187727006785,0.003618673666300509,0.2132059068303227,accepted_cond_any_answer_30d_denom,1134
high_complexity,with_recent_gap_first_vs_accepted,accepted_cond_any_answer_30d_rate,recent_gap_first_vs_accepted,-0.06773237570191545,0.044183650738112513,0.12528232870664094,accepted_cond_any_answer_30d_denom,565
high_complexity,with_recent_gap_first_vs_accepted,accepted_cond_any_answer_30d_rate,exposure_post,-0.012281630945101539,0.00686324377720562,0.07353769870585675,accepted_cond_any_answer_30d_denom,565
full,baseline,accepted_vote_30d_rate,exposure_post,0.001488425135396682,0.0027048235956319056,0.5821235855915077,accepted_vote_30d_denom,1140
full,with_first_recent_share,accepted_vote_30d_rate,first_recent_share,0.0007696934515288628,0.007577468543919623,0.9190927580217919,accepted_vote_30d_denom,1138
full,with_first_recent_share,accepted_vote_30d_rate,exposure_post,0.001474593701244012,0.0026714495388756323,0.5809602646252637,accepted_vote_30d_denom,1138
full,with_recent_gap_first_vs_accepted,accepted_vote_30d_rate,recent_gap_first_vs_accepted,-0.07522612017702052,0.024165296855720515,0.0018520767563979933,accepted_vote_30d_denom,1134
full,with_recent_gap_first_vs_accepted,accepted_vote_30d_rate,exposure_post,0.0020399754735659606,0.00258515745285248,0.43004729366425765,accepted_vote_30d_denom,1134
full,with_accepted_incumbent_share,accepted_vote_30d_rate,accepted_incumbent_share,-0.0005385698925902186,0.010830991354863286,0.9603416187782009,accepted_vote_30d_denom,1134
full,with_accepted_incumbent_share,accepted_vote_30d_rate,exposure_post,0.0014869655371390858,0.002567330473236819,0.5624627119208607,accepted_vote_30d_denom,1134
high_complexity,with_recent_gap_first_vs_accepted,accepted_vote_30d_rate,recent_gap_first_vs_accepted,-0.09275030373520857,0.02990308257092792,0.0019241474754139612,accepted_vote_30d_denom,565
high_complexity,with_recent_gap_first_vs_accepted,accepted_vote_30d_rate,exposure_post,-0.003498298235821639,0.005572267894893333,0.5301316208905301,accepted_vote_30d_denom,565
