event_id,question_id,answer_id,user_id,role,surface,event_ts,event_month,strict_pattern_family,tool_families,primary_tag,month_id,high_tag,exposure_index,post_chatgpt
13184c376cfecc75,68337328,68337584,3030243,answer_commenter,answer_comment,2021-07-11 15:30:49.927000+00:00,2021-07,from_tool,copilot,javascript,2021-07,1,0.484762784788476,0
846cba7a39d6a656,68444704,,13531125,asker,question_body,2021-07-19 17:29:47.293000+00:00,2021-07,from_tool,,python,2021-07,1,0.3704293899547944,0
be6b7526e8203664,68444704,,11333098,question_commenter,question_comment,2021-07-26 06:34:23.333000+00:00,2021-07,from_tool,,python,2021-07,1,0.3704293899547944,0
2366aefabe53fb6d,68628046,,13710015,question_commenter,question_comment,2021-08-02 21:26:52.157000+00:00,2021-08,from_tool,copilot,python,2021-08,1,0.3704293899547944,0
7151fd4af4dcf152,68938095,,16118971,asker,question_body,2021-08-26 11:56:39.050000+00:00,2021-08,from_tool,gemini,python,2021-08,1,0.3704293899547944,0
bfbe3a18f7aa28a6,69403613,,2632462,asker,question_body,2021-10-01 09:30:21.323000+00:00,2021-10,from_tool,,python,2021-10,1,0.3704293899547944,0
ee8597e1dee72095,69474007,,15363651,asker,title,2021-10-07 00:16:55.743000+00:00,2021-10,from_tool,openai,python,2021-10,1,0.3704293899547944,0
729fdabd09e9d616,69549494,,17139319,asker,question_body,2021-10-13 03:43:17.043000+00:00,2021-10,from_tool,gpt_family;openai,javascript,2021-10,1,0.484762784788476,0
44856161b5b0d0d5,69549494,69549620,4384238,answerer,answer_body,2021-10-13 04:03:48.277000+00:00,2021-10,tool_generated,ai_generated;gpt_family;openai,javascript,2021-10,1,0.484762784788476,0
9fb7ee928f6da12b,69911273,,2218253,question_commenter,question_comment,2021-11-10 10:26:42.973000+00:00,2021-11,from_tool,copilot,javascript,2021-11,1,0.484762784788476,0
ef3d03392ded73bc,69937845,,13910444,asker,question_body,2021-11-12 04:07:37.503000+00:00,2021-11,from_tool,openai,python,2021-11,1,0.3704293899547944,0
a8c1c14069b6e738,69973975,,17417337,asker,question_body,2021-11-15 11:50:58.617000+00:00,2021-11,from_tool,openai,python,2021-11,1,0.3704293899547944,0
fbbb01faa6c7348e,70104085,,16882363,asker,question_body,2021-11-24 23:21:07.577000+00:00,2021-11,from_tool,openai,python,2021-11,1,0.3704293899547944,0
70b7356bcc42b2d3,70261352,,12361037,question_commenter,question_comment,2021-12-22 11:06:45.413000+00:00,2021-12,from_tool,openai,python,2021-12,1,0.3704293899547944,0
8f43028d843b2d99,70514154,70514941,16257878,answerer,answer_body,2021-12-29 03:50:40.887000+00:00,2021-12,from_tool,openai,python,2021-12,1,0.3704293899547944,0
a22112070e18e86e,70672460,,8613875,asker,question_body,2022-01-11 19:35:14.093000+00:00,2022-01,from_tool,,python,2022-01,1,0.3704293899547944,0
ff4995e282fc4bf4,70770204,,16608205,asker,question_body,2022-01-19 11:58:35.607000+00:00,2022-01,from_tool,openai,python,2022-01,1,0.3704293899547944,0
40d0171b2a945b22,70869444,70871074,205185,answerer,answer_body,2022-01-26 22:29:45.667000+00:00,2022-01,tool_said,claude,firebase,2022-01,0,-0.8269317640104322,0
45c8d2c01b5118f5,65062141,70897055,17132650,answerer,answer_body,2022-01-28 16:33:30.380000+00:00,2022-01,used_tool,gpt_family,python,2020-11,1,0.3704293899547944,0
8f5f7b6de34aa2f3,70959002,,10570671,asker,question_body,2022-02-02 16:13:38.963000+00:00,2022-02,tool_said,copilot,javascript,2022-02,1,0.484762784788476,0
9db100038ec05aa9,70959002,70971866,10570671,answerer,answer_body,2022-02-03 13:08:20.383000+00:00,2022-02,tool_said,copilot,javascript,2022-02,1,0.484762784788476,0
1fc638ddd083744f,70981856,,13887492,asker,question_body,2022-02-04 05:33:26.563000+00:00,2022-02,from_tool,openai,python,2022-02,1,0.3704293899547944,0
004312746cc3b0c4,71152461,,10750589,asker,question_body,2022-02-17 04:17:10.680000+00:00,2022-02,tool_said,copilot,memory-management,2022-02,0,-0.522609519626134,0
56569eed56991e3b,71152461,,10750589,asker,question_body,2022-02-17 04:17:10.680000+00:00,2022-02,used_tool,copilot,memory-management,2022-02,0,-0.522609519626134,0
71dcb97bb22fe5c1,71152461,,10750589,asker,question_body,2022-02-17 04:17:10.680000+00:00,2022-02,ai_assisted,copilot,memory-management,2022-02,0,-0.522609519626134,0
9f8796c92cbede8a,71203411,,2293224,asker,question_body,2022-02-21 08:46:04.217000+00:00,2022-02,from_tool,gpt_family;openai,python,2022-02,1,0.3704293899547944,0
7a59e091ecc386c5,61002877,71458632,11833240,answerer,answer_body,2022-03-13 16:19:42.640000+00:00,2022-03,from_tool,copilot,javascript,2020-04,1,0.484762784788476,0
4e09768595de6d10,71466639,,9495110,asker,question_body,2022-03-14 10:58:15.067000+00:00,2022-03,from_tool,,python,2022-03,1,0.3704293899547944,0
989da7f7382f9196,65062141,71603186,6191855,answerer,answer_body,2022-03-24 13:14:43.050000+00:00,2022-03,from_tool,gpt_family,python,2020-11,1,0.3704293899547944,0
15e08987dbb0375b,71690297,,11410327,asker,question_body,2022-03-31 09:41:36.310000+00:00,2022-03,from_tool,gpt_family,python,2022-03,1,0.3704293899547944,0
c59563b9d83294f9,71801157,,16448133,asker,question_body,2022-04-08 17:38:15.447000+00:00,2022-04,from_tool,gemini,python,2022-04,1,0.3704293899547944,0
9550d44db70e4e71,71803887,71861615,15487503,answerer,answer_body,2022-04-13 17:28:40.490000+00:00,2022-04,from_tool,copilot,docker,2022-04,0,-2.067518990036933,0
e405aa3764aaeb95,72032212,,934557,asker,title,2022-04-27 16:20:47.437000+00:00,2022-04,from_tool,openai,python,2022-04,1,0.3704293899547944,0
a1e5a830b3575236,72182271,,7791036,asker,question_body,2022-05-10 07:30:34.807000+00:00,2022-05,from_tool,copilot,docker,2022-05,0,-2.067518990036933,0
9c6289f67a8f0b04,71186366,72220362,19102502,answerer,answer_body,2022-05-12 18:14:48.150000+00:00,2022-05,from_tool,openai,python,2022-02,1,0.3704293899547944,0
cc0342ddf5241fa5,70550623,72220483,19102502,answerer,answer_body,2022-05-12 18:27:05.567000+00:00,2022-05,from_tool,openai,python,2022-01,1,0.3704293899547944,0
d1a6e219c0b89de8,72282605,,15547671,asker,question_body,2022-05-18 02:30:50.070000+00:00,2022-05,tool_generated,copilot,javascript,2022-05,1,0.484762784788476,0
27e80abe4a5f29ab,71333114,72498912,18564668,answerer,answer_body,2022-06-04 10:15:35.410000+00:00,2022-06,from_tool,openai,python,2022-03,1,0.3704293899547944,0
017f9557493e2fce,72726618,,14666088,asker,question_body,2022-06-23 08:03:13.970000+00:00,2022-06,from_tool,openai,javascript,2022-06,1,0.484762784788476,0
31e96c8fa9b31bc5,72922146,,19453849,asker,question_body,2022-07-09 14:24:19.893000+00:00,2022-07,from_tool,gpt_family;openai,javascript,2022-07,1,0.484762784788476,0
b43ed49fca241f99,72944484,72944712,6598627,answerer,answer_body,2022-07-11 21:11:03.897000+00:00,2022-07,tool_said,gpt_family;openai,sql,2022-07,1,0.8127371844006236,0
861a567c70802985,72914328,73013559,7353402,answerer,answer_body,2022-07-17 16:35:11.563000+00:00,2022-07,tool_generated,gpt_family;openai,python,2022-07,1,0.3704293899547944,0
bb3fd480e4b41af1,72986749,73049043,8992678,answerer,answer_body,2022-07-20 09:25:38.607000+00:00,2022-07,from_tool,openai,python,2022-07,1,0.3704293899547944,0
6874c3ef276dbaa3,72986749,73096314,2195440,answerer,answer_body,2022-07-24 06:44:23.590000+00:00,2022-07,from_tool,openai,python,2022-07,1,0.3704293899547944,0
8d412863e36812da,73291289,,1672528,asker,question_body,2022-08-09 11:48:09.940000+00:00,2022-08,from_tool,gpt_family;openai,javascript,2022-08,1,0.484762784788476,0
9b5ff0b70e6c59a8,73340805,,3591044,asker,title,2022-08-13 00:20:27.070000+00:00,2022-08,from_tool,,python,2022-08,1,0.3704293899547944,0
d62e406682c65a3d,73370817,,15152059,question_commenter,question_comment,2022-08-16 08:28:10.597000+00:00,2022-08,from_tool,openai,python,2022-08,1,0.3704293899547944,0
9a8e78b13cb2a760,73533043,,19872258,asker,question_body,2022-08-29 18:13:43.637000+00:00,2022-08,from_tool,ai_generated;openai,python,2022-08,1,0.3704293899547944,0
be0d2f2cb2d8de92,73533043,,19872258,asker,question_body,2022-08-29 18:13:43.637000+00:00,2022-08,tool_generated,ai_generated;openai,python,2022-08,1,0.3704293899547944,0
03c414ebbe4260dc,73547502,,8084141,asker,question_body,2022-08-30 19:20:42.123000+00:00,2022-08,from_tool,openai,javascript,2022-08,1,0.484762784788476,0
16928452e8116074,73822353,,395857,asker,question_body,2022-09-23 02:15:26.453000+00:00,2022-09,used_tool,openai,python,2022-09,1,0.3704293899547944,0
34f41d857fedd9ec,73827905,,13071024,asker,question_body,2022-09-23 12:42:03.460000+00:00,2022-09,from_tool,openai,python,2022-09,1,0.3704293899547944,0
277be4d3f3f7c661,73833916,,395857,asker,question_body,2022-09-24 00:04:01.487000+00:00,2022-09,used_tool,openai,python,2022-09,1,0.3704293899547944,0
b82486b1fe863173,73841388,,395857,asker,title,2022-09-25 00:28:33.437000+00:00,2022-09,from_tool,openai,python,2022-09,1,0.3704293899547944,0
ebab8b5e29b5b87b,73841388,,395857,asker,question_body,2022-09-25 00:28:33.437000+00:00,2022-09,used_tool,openai,python,2022-09,1,0.3704293899547944,0
f629d494c36b6fda,73841388,,395857,asker,question_body,2022-09-25 00:28:33.437000+00:00,2022-09,from_tool,openai,python,2022-09,1,0.3704293899547944,0
0c3ae4452d3b1805,73841388,73847374,395857,answerer,answer_body,2022-09-25 19:40:27.303000+00:00,2022-09,from_tool,openai,python,2022-09,1,0.3704293899547944,0
94f0164b9f9af574,73902182,73903661,14606987,answer_commenter,answer_comment,2022-09-30 10:58:26.807000+00:00,2022-09,from_tool,copilot,javascript,2022-09,1,0.484762784788476,0
5ddc924d5d34d63f,73999135,,5157277,asker,title,2022-10-08 17:28:49.243000+00:00,2022-10,from_tool,openai,python,2022-10,1,0.3704293899547944,0
a5f742058dc29494,74101482,,20265876,asker,question_body,2022-10-17 18:15:48.287000+00:00,2022-10,from_tool,gpt_family;openai,python,2022-10,1,0.3704293899547944,0
29a1290aa02e1053,74124353,,10137046,asker,question_body,2022-10-19 11:12:05.727000+00:00,2022-10,tool_generated,,javascript,2022-10,1,0.484762784788476,0
b51cf5aac4ceb764,74151027,,17646343,asker,question_body,2022-10-21 08:43:14.410000+00:00,2022-10,from_tool,openai,python,2022-10,1,0.3704293899547944,0
523cefe84e893df9,74423236,,19152117,asker,question_body,2022-11-13 17:33:15.070000+00:00,2022-11,from_tool,openai,python,2022-11,1,0.3704293899547944,0
2f108916eba2761d,74433358,,18839056,asker,question_body,2022-11-14 14:38:20.507000+00:00,2022-11,from_tool,openai,python,2022-11,1,0.3704293899547944,0
87ff6e4674d455f0,74439473,,320738,asker,question_body,2022-11-15 00:40:59.660000+00:00,2022-11,from_tool,copilot,docker,2022-11,0,-2.067518990036933,0
a307574a248e072a,74451360,,16021065,asker,question_body,2022-11-15 19:49:14.717000+00:00,2022-11,used_tool,copilot,docker,2022-11,0,-2.067518990036933,0
00bd688e1e6699f7,74524530,,11805611,asker,question_body,2022-11-21 20:26:49.037000+00:00,2022-11,from_tool,gpt_family;openai,python,2022-11,1,0.3704293899547944,0
00bbaa7fbbb0e30f,74542420,,139150,asker,question_body,2022-11-23 06:06:08.360000+00:00,2022-11,from_tool,gpt_family;openai,python,2022-11,1,0.3704293899547944,0
22316ac280733614,74542420,,139150,asker,title,2022-11-23 06:06:08.360000+00:00,2022-11,from_tool,gpt_family,python,2022-11,1,0.3704293899547944,0
3497059f03fa4321,74626505,,18466702,asker,question_body,2022-11-30 10:48:37.730000+00:00,2022-11,from_tool,openai,python,2022-11,1,0.3704293899547944,1
b4132833548581c0,74660165,,19730434,asker,question_body,2022-12-02 18:39:56.930000+00:00,2022-12,tool_said,,javascript,2022-12,1,0.484762784788476,1
95ee1a9f61292bc9,74667621,,7954236,asker,question_body,2022-12-03 14:28:53.323000+00:00,2022-12,from_tool,gpt_family;openai,python,2022-12,1,0.3704293899547944,1
eb0266969fcd1d96,74667621,,7954236,asker,title,2022-12-03 14:28:53.323000+00:00,2022-12,from_tool,openai,python,2022-12,1,0.3704293899547944,1
9b03ac9b23272289,74671737,,17789855,asker,question_body,2022-12-03 23:46:01.177000+00:00,2022-12,tool_generated,gpt_family,python,2022-12,1,0.3704293899547944,1
ed3e5388c7770ffc,74685936,74686045,1322168,answer_commenter,answer_comment,2022-12-06 16:41:28.203000+00:00,2022-12,tool_said,chatgpt,python,2022-12,1,0.3704293899547944,1
846cbcc794885961,74717789,74717895,238704,answer_commenter,answer_comment,2022-12-07 14:36:07.837000+00:00,2022-12,from_tool,chatgpt,javascript,2022-12,1,0.484762784788476,1
51efb403bd2ded98,74725439,,2636579,asker,question_body,2022-12-08 04:12:37.310000+00:00,2022-12,from_tool,openai,python,2022-12,1,0.3704293899547944,1
98f6a5cbe55891c1,74729716,74729717,13583510,answer_commenter,answer_comment,2022-12-08 11:40:52.253000+00:00,2022-12,tool_generated,ai_generated;chatgpt,javascript,2022-12,1,0.484762784788476,1
b78226f6de164db2,74730178,,18206236,asker,title,2022-12-08 12:18:36.267000+00:00,2022-12,from_tool,openai,python,2022-12,1,0.3704293899547944,1
755f25a697c7a791,74745958,,20379683,asker,question_body,2022-12-09 16:44:11.637000+00:00,2022-12,from_tool,chatgpt,python,2022-12,1,0.3704293899547944,1
bd297e8f597e14d7,74746796,,20729325,asker,question_body,2022-12-09 18:07:16.630000+00:00,2022-12,from_tool,openai,pandas,2022-12,1,1.1493993062473231,1
33d3f2bb66a66e6c,74748904,74749580,5153354,answerer,answer_body,2022-12-10 00:57:52.757000+00:00,2022-12,tool_said,copilot,firebase,2022-12,0,-0.8269317640104322,1
71cdfeb6a0c75f72,74750959,,20739566,asker,question_body,2022-12-10 06:51:17.413000+00:00,2022-12,from_tool,openai,python,2022-12,1,0.3704293899547944,1
db1ac5aec09a874d,74733302,74733974,441757,answer_commenter,answer_comment,2022-12-10 07:55:56.853000+00:00,2022-12,from_tool,chatgpt,javascript,2022-12,1,0.484762784788476,1
98bc629b4a33e3b7,74756687,,4653234,asker,question_body,2022-12-10 21:33:57.243000+00:00,2022-12,used_tool,chatgpt,python,2022-12,1,0.3704293899547944,1
ab338a15e75e09f5,74762524,,19239218,asker,question_body,2022-12-11 16:27:21.443000+00:00,2022-12,from_tool,chatgpt,javascript,2022-12,1,0.484762784788476,1
a76202fe034192dc,74768264,,20754697,asker,question_body,2022-12-12 08:14:16.093000+00:00,2022-12,from_tool,chatgpt,python,2022-12,1,0.3704293899547944,1
cbb2d6e71d4fe637,74768264,,10669875,question_commenter,question_comment,2022-12-13 08:14:57.320000+00:00,2022-12,from_tool,chatgpt,python,2022-12,1,0.3704293899547944,1
e8e760a6009a9755,74785291,,4684797,question_commenter,question_comment,2022-12-13 13:04:13.440000+00:00,2022-12,used_tool,openai,regex,2022-12,1,1.657307329678494,1
6af953d6d4718ea3,74787354,74787476,349130,answer_commenter,answer_comment,2022-12-13 16:25:03.940000+00:00,2022-12,tool_generated,ai_generated;chatgpt,python,2022-12,1,0.3704293899547944,1
977c8ba462797a65,74733302,74733974,441757,answer_commenter,answer_comment,2022-12-14 00:45:03.807000+00:00,2022-12,from_tool,chatgpt,javascript,2022-12,1,0.484762784788476,1
a890537e3fb7d04f,74792689,,17313891,asker,question_body,2022-12-14 01:30:59.523000+00:00,2022-12,tool_said,chatgpt;copilot,android,2022-12,0,-0.5824723369899437,1
e1e95a5703c552f7,74792689,74793900,5457853,answerer,answer_body,2022-12-14 05:22:34.903000+00:00,2022-12,tool_generated,chatgpt;copilot,android,2022-12,0,-0.5824723369899437,1
241b3675c9ca48fa,74733302,74733974,54680,answer_commenter,answer_comment,2022-12-14 17:39:29.717000+00:00,2022-12,from_tool,chatgpt,javascript,2022-12,1,0.484762784788476,1
9bec00f42fb122f0,74790990,,1595451,question_commenter,question_comment,2022-12-15 22:53:27.410000+00:00,2022-12,from_tool,chatgpt,javascript,2022-12,1,0.484762784788476,1
c729c5144cffd8c4,74762524,,1595451,question_commenter,question_comment,2022-12-16 01:03:47.753000+00:00,2022-12,from_tool,chatgpt,javascript,2022-12,1,0.484762784788476,1
80115e472c1371d9,74835362,,20802280,asker,question_body,2022-12-17 15:44:00.483000+00:00,2022-12,from_tool,openai,python,2022-12,1,0.3704293899547944,1
c8bafda447fdf55b,74835362,,20802280,asker,title,2022-12-17 15:44:00.483000+00:00,2022-12,from_tool,openai,python,2022-12,1,0.3704293899547944,1
49ef632b697af685,74838227,,20787987,question_commenter,question_comment,2022-12-18 03:01:29.690000+00:00,2022-12,used_tool,chatgpt,python,2022-12,1,0.3704293899547944,1
757d3e5a66e00d4d,74842303,,9802837,asker,question_body,2022-12-18 14:48:37.283000+00:00,2022-12,tool_generated,ai_generated;chatgpt,python,2022-12,1,0.3704293899547944,1
30d0bba8e467f05f,74680393,74844056,145504,answerer,answer_body,2022-12-18 20:05:21.587000+00:00,2022-12,tool_generated,ai_generated;chatgpt,python,2022-12,1,0.3704293899547944,1
67fb35c742d3f1bf,74842303,,238704,question_commenter,question_comment,2022-12-18 21:12:17.010000+00:00,2022-12,tool_generated,ai_generated;chatgpt,python,2022-12,1,0.3704293899547944,1
0355980f55c62b91,74734902,74842917,10669875,answer_commenter,answer_comment,2022-12-19 13:39:33.610000+00:00,2022-12,from_tool,chatgpt,python,2022-12,1,0.3704293899547944,1
31cd2da5989e640d,74881565,,20827289,asker,question_body,2022-12-21 20:40:55.453000+00:00,2022-12,from_tool,chatgpt,python,2022-12,1,0.3704293899547944,1
31f310952c6276cd,74882971,,12792811,asker,question_body,2022-12-22 00:06:12.517000+00:00,2022-12,from_tool,gpt_family;openai,python,2022-12,1,0.3704293899547944,1
55a940e7f1a921c9,65710425,74870839,20037042,answer_commenter,answer_comment,2022-12-22 09:56:02.733000+00:00,2022-12,tool_said,gpt_family,javascript,2021-01,1,0.484762784788476,0
0a2541628985e9fb,74893347,,18678344,asker,question_body,2022-12-22 20:03:36.107000+00:00,2022-12,from_tool,openai,python,2022-12,1,0.3704293899547944,1
72df9a54b8131893,74895207,,20843706,asker,question_body,2022-12-23 00:55:07.693000+00:00,2022-12,from_tool,chatgpt,python,2022-12,1,0.3704293899547944,1
3bd7ddf88f257c95,74896382,,9286924,asker,question_body,2022-12-23 05:22:35.517000+00:00,2022-12,tool_generated,chatgpt,kubernetes,2022-12,0,-1.5867667726106391,1
a8245f7ef7d14c7d,74900645,,2851791,asker,question_body,2022-12-23 14:18:45.200000+00:00,2022-12,from_tool,openai,javascript,2022-12,1,0.484762784788476,1
922efef35adf0a93,74907244,,13745926,asker,title,2022-12-24 11:12:42.050000+00:00,2022-12,from_tool,openai,python,2022-12,1,0.3704293899547944,1
2ed925b96da0c42e,74911960,,19311647,question_commenter,question_comment,2022-12-25 10:10:03.940000+00:00,2022-12,from_tool,openai,python,2022-12,1,0.3704293899547944,1
82268545859f27aa,74916468,,20626408,asker,question_body,2022-12-25 23:51:06.920000+00:00,2022-12,from_tool,chatgpt,python,2022-12,1,0.3704293899547944,1
2f82204def165630,74931028,,167958,question_commenter,question_comment,2022-12-27 15:49:42.660000+00:00,2022-12,tool_said,chatgpt,linux,2022-12,0,-0.3486118221209918,1
e6e7331da318d789,74933793,,9230223,question_commenter,question_comment,2022-12-27 20:54:25.853000+00:00,2022-12,used_tool,chatgpt,javascript,2022-12,1,0.484762784788476,1
7f190fd69766e7e8,74943870,,10601203,question_commenter,question_comment,2022-12-28 19:04:03.223000+00:00,2022-12,from_tool,chatgpt,javascript,2022-12,1,0.484762784788476,1
79a70630d35a0657,74962245,,20258209,asker,question_body,2022-12-30 13:48:03.483000+00:00,2022-12,from_tool,chatgpt,sql,2022-12,1,0.8127371844006236,1
bdb0a95dcf967549,74967606,,20898155,asker,question_body,2022-12-31 04:59:15.857000+00:00,2022-12,used_tool,openai,python,2022-12,1,0.3704293899547944,1
b1cee8c8911346db,74996136,,20920901,asker,question_body,2023-01-03 16:36:55.780000+00:00,2023-01,from_tool,openai,python,2023-01,1,0.3704293899547944,1
5df11f0b899290ca,74998124,,20922286,asker,question_body,2023-01-03 19:59:03.383000+00:00,2023-01,from_tool,openai,python,2023-01,1,0.3704293899547944,1
c78854d6f8e499fc,75003737,,12509961,asker,question_body,2023-01-04 09:56:28.127000+00:00,2023-01,from_tool,openai,python,2023-01,1,0.3704293899547944,1
cb199338a0272ac3,74989696,74990237,7424038,answer_commenter,answer_comment,2023-01-04 16:20:28.097000+00:00,2023-01,tool_said,chatgpt,python,2023-01,1,0.3704293899547944,1
b0d5b9619e70a935,75013804,,20200925,asker,title,2023-01-05 04:16:17.757000+00:00,2023-01,from_tool,openai,python,2023-01,1,0.3704293899547944,1
0b55951ee7f0be73,75013965,,20933237,asker,question_body,2023-01-05 04:51:50.880000+00:00,2023-01,from_tool,chatgpt,python,2023-01,1,0.3704293899547944,1
0b44e641d41434f3,75014019,,20933159,asker,question_body,2023-01-05 05:02:30.027000+00:00,2023-01,from_tool,openai,javascript,2023-01,1,0.484762784788476,1
21989c6cecaadda7,75014019,75014273,13570378,answerer,answer_body,2023-01-05 05:40:23.120000+00:00,2023-01,from_tool,openai,javascript,2023-01,1,0.484762784788476,1
32242fd89115bcbf,75026837,,20941855,asker,question_body,2023-01-06 04:05:51.430000+00:00,2023-01,used_tool,chatgpt,javascript,2023-01,1,0.484762784788476,1
3d1b8dcf2feb3095,75026842,,20941867,asker,question_body,2023-01-06 04:07:44.390000+00:00,2023-01,from_tool,openai,javascript,2023-01,1,0.484762784788476,1
c418461529997782,75026837,,743464,question_commenter,question_comment,2023-01-06 04:14:57.940000+00:00,2023-01,used_tool,chatgpt,javascript,2023-01,1,0.484762784788476,1
e472319eb8acbfea,75035959,,20948266,asker,question_body,2023-01-06 20:49:07.793000+00:00,2023-01,used_tool,chatgpt,python,2023-01,1,0.3704293899547944,1
c0fa891ec7477735,75036310,,20451674,question_commenter,question_comment,2023-01-06 23:21:07.420000+00:00,2023-01,tool_said,chatgpt,firebase,2023-01,0,-0.8269317640104322,1
ffa2f97469d61ce1,75038112,,15812432,asker,question_body,2023-01-07 04:29:02.873000+00:00,2023-01,tool_said,chatgpt,python,2023-01,1,0.3704293899547944,1
deeba8e1e5aab453,75041677,,3824084,asker,question_body,2023-01-07 15:51:42.090000+00:00,2023-01,tool_said,chatgpt,python,2023-01,1,0.3704293899547944,1
c9dc6bd0730e1211,75042645,,1826066,asker,question_body,2023-01-07 18:05:10.033000+00:00,2023-01,tool_said,chatgpt,python,2023-01,1,0.3704293899547944,1
c8637bd182fc72d4,75037059,,18128408,question_commenter,question_comment,2023-01-09 22:01:51.233000+00:00,2023-01,from_tool,openai,android,2023-01,0,-0.5824723369899437,1
0a4c401684a9a265,75038112,75064687,15812432,answerer,answer_body,2023-01-10 01:54:03.510000+00:00,2023-01,from_tool,chatgpt,python,2023-01,1,0.3704293899547944,1
