treated_user_id,control_user_id,hit_month_id,hit_month_index,distance,matching_rule,treated_first_active_bucket,control_first_active_bucket,treated_ask_bin,control_ask_bin
13040148,53491,2020-10,609,3.3089002242959955,first_active_bucket+relaxed_ask_bin,early,early,zero,one
12412932,19993,2020-11,610,3.318137537790448,first_active_bucket+relaxed_ask_bin,early,early,zero,one
2548987,130208,2020-11,610,3.318127331565706,first_active_bucket+relaxed_ask_bin,early,early,zero,one
11466854,147143,2020-11,610,3.318117125386095,first_active_bucket+relaxed_ask_bin,early,early,zero,one
436035,148337,2020-11,610,3.3181069192516137,first_active_bucket+relaxed_ask_bin,early,early,zero,one
14735451,3105,2020-12,611,3.36163923399701,first_active_bucket+relaxed_ask_bin,early,early,zero,one
12052180,159554,2020-12,611,3.227054422833993,first_active_bucket+relaxed_ask_bin,early,early,zero,one
5013467,15485,2020-12,611,3.227042468373931,first_active_bucket+relaxed_ask_bin,early,early,zero,one
13104429,80851,2020-12,611,3.2270305139244697,first_active_bucket+relaxed_ask_bin,early,early,zero,one
14844030,8003,2020-12,611,3.3615956938400817,first_active_bucket+relaxed_ask_bin,early,early,zero,one
1793799,11403,2021-01,612,3.3020349853107143,first_active_bucket+relaxed_ask_bin,early,early,zero,one
489088,6197439,2021-01,612,0.5163984147863409,first_active_bucket+ask_bin,early,early,high,high
7146542,15485,2021-01,612,3.30259591097046,first_active_bucket+relaxed_ask_bin,early,early,zero,one
9837081,51197,2021-01,612,0.0,first_active_bucket+ask_bin,early,early,one,one
5211922,73715,2021-01,612,0.0,first_active_bucket+ask_bin,early,early,one,one
9377067,159554,2021-01,612,3.3025579287931786,first_active_bucket+relaxed_ask_bin,early,early,zero,one
8265732,115944,2021-01,612,3.411186463936073,first_active_bucket+relaxed_ask_bin,early,early,zero,one
12422262,187543,2021-01,612,3.411174205708398,first_active_bucket+relaxed_ask_bin,early,early,zero,one
15037436,209050,2021-01,612,3.4111619475089747,first_active_bucket+relaxed_ask_bin,early,early,zero,one
12384851,11099842,2021-02,613,0.06933734384827776,first_active_bucket+ask_bin,early,early,high,high
13514723,22595,2021-02,613,0.0,first_active_bucket+ask_bin,early,early,one,one
12313488,459,2021-02,613,3.4598033086126194,first_active_bucket+relaxed_ask_bin,early,early,zero,one
13782227,14280231,2021-03,614,0.5195800810184845,first_active_bucket+ask_bin,early,early,high,high
1317018,14183330,2021-03,614,0.011397019255687158,first_active_bucket+ask_bin,early,early,mid,mid
12349188,15139,2021-03,614,0.0,first_active_bucket+ask_bin,early,early,one,one
11334093,796634,2021-03,614,0.0,first_active_bucket+ask_bin,early,early,low,low
14629518,361,2021-03,614,0.0,first_active_bucket+ask_bin,early,early,one,one
1936179,17413,2021-03,614,3.481101418759723,first_active_bucket+relaxed_ask_bin,early,early,zero,one
2178942,1920178,2021-04,615,0.0,first_active_bucket+ask_bin,early,early,mid,mid
11950764,3803688,2021-04,615,3.4244916754844223,first_active_bucket+relaxed_ask_bin,early,early,zero,one
13140685,170931,2021-04,615,0.0,first_active_bucket+ask_bin,early,early,low,low
9693537,54606,2021-04,615,3.4244661470694275,first_active_bucket+relaxed_ask_bin,early,early,zero,one
6010395,377,2021-04,615,0.0,first_active_bucket+ask_bin,early,early,one,one
3837352,17648,2021-04,615,3.487387813223749,first_active_bucket+relaxed_ask_bin,early,early,zero,one
10182935,123246,2021-04,615,3.4873743638833012,first_active_bucket+relaxed_ask_bin,early,early,zero,one
15252562,173922,2021-04,615,3.4873609145609743,first_active_bucket+relaxed_ask_bin,early,early,zero,one
14198272,6594089,2021-05,616,0.0,first_active_bucket+ask_bin,early,early,mid,mid
693101,33165,2021-05,616,3.5070479893697954,first_active_bucket+relaxed_ask_bin,early,early,zero,one
10804486,15139,2021-05,616,3.4526498972135125,first_active_bucket+relaxed_ask_bin,early,early,zero,one
14643464,105717,2021-05,616,3.5070219250641896,first_active_bucket+relaxed_ask_bin,early,early,zero,one
10534129,136725,2021-05,616,3.5070082526318367,first_active_bucket+relaxed_ask_bin,early,early,zero,one
16056946,149008,2021-05,616,3.506994580216215,first_active_bucket+relaxed_ask_bin,early,early,zero,one
13142245,13439438,2021-06,617,0.030691089469386795,first_active_bucket+ask_bin,early,early,high,high
5058384,1053,2021-06,617,3.5266174641761707,first_active_bucket+relaxed_ask_bin,early,early,zero,one
9973177,15165,2021-06,617,3.5266036853881952,first_active_bucket+relaxed_ask_bin,early,early,zero,one
16215008,24355,2021-06,617,3.526589906615861,first_active_bucket+relaxed_ask_bin,early,early,zero,one
16262479,138541,2021-06,617,3.526576127859166,first_active_bucket+relaxed_ask_bin,early,early,zero,one
13531125,10168,2021-07,618,3.4996385496139872,first_active_bucket+relaxed_ask_bin,early,early,zero,one
6399645,24558,2021-07,618,0.0,first_active_bucket+ask_bin,early,early,one,one
14299963,1973779,2021-07,618,0.0,first_active_bucket+ask_bin,early,early,low,low
16412367,67510,2021-07,618,3.541325099973759,first_active_bucket+relaxed_ask_bin,early,early,zero,one
10605020,8741,2021-07,618,0.0,first_active_bucket+ask_bin,early,early,one,one
6942684,52236,2021-07,618,3.4995990789401152,first_active_bucket+relaxed_ask_bin,early,early,zero,one
15542697,1515626,2021-08,619,0.0,first_active_bucket+ask_bin,early,early,low,low
16814329,14027,2021-09,620,3.5859067363368955,first_active_bucket+relaxed_ask_bin,early,early,zero,one
11730093,39939,2021-09,620,0.0,first_active_bucket+ask_bin,early,early,one,one
17139319,43626,2021-10,621,3.6303920461688395,first_active_bucket+relaxed_ask_bin,early,early,zero,one
15525066,13446923,2021-10,621,0.0,first_active_bucket+ask_bin,early,early,mid,mid
15363651,98214,2021-10,621,0.0,first_active_bucket+ask_bin,early,early,one,one
16451554,11827,2021-10,621,0.0,first_active_bucket+ask_bin,early,early,one,one
17171141,72791,2021-10,621,3.630407585101659,first_active_bucket+relaxed_ask_bin,early,early,zero,one
2130841,186152,2021-10,621,3.630392396236999,first_active_bucket+relaxed_ask_bin,early,early,zero,one
17137811,202375,2021-10,621,3.630377207387406,first_active_bucket+relaxed_ask_bin,early,early,zero,one
2632462,208890,2021-10,621,3.6303620185528853,first_active_bucket+relaxed_ask_bin,early,early,zero,one
8655577,250254,2021-10,621,3.6303468297334334,first_active_bucket+relaxed_ask_bin,early,early,zero,one
5976033,4391360,2021-11,622,0.0,first_active_bucket+ask_bin,early,early,mid,mid
3408256,66105,2021-11,622,3.6304862928732247,first_active_bucket+relaxed_ask_bin,early,early,zero,one
16882363,672,2021-11,622,0.0,first_active_bucket+ask_bin,early,early,one,one
5136891,129750,2021-11,622,3.656627475641105,first_active_bucket+relaxed_ask_bin,early,early,zero,one
14497660,170614,2021-11,622,3.656611815440458,first_active_bucket+relaxed_ask_bin,early,early,zero,one
13910444,232017,2021-11,622,3.656596155255103,first_active_bucket+relaxed_ask_bin,early,early,zero,one
15338884,234547,2021-11,622,3.6565804950850422,first_active_bucket+relaxed_ask_bin,early,early,zero,one
15860944,396749,2021-11,622,3.6565648349302746,first_active_bucket+relaxed_ask_bin,early,early,zero,one
13510057,5175,2021-12,623,3.7032870819548673,first_active_bucket+relaxed_ask_bin,early,early,zero,one
2949184,10577976,2021-12,623,0.06445949981790014,first_active_bucket+ask_bin,early,early,mid,mid
7133942,5574794,2021-12,623,0.09400146834796759,first_active_bucket+ask_bin,early,early,high,high
14879655,118520,2021-12,623,3.6807221023797254,first_active_bucket+relaxed_ask_bin,early,early,zero,one
11725620,124764,2021-12,623,3.7042217540409945,first_active_bucket+relaxed_ask_bin,early,early,zero,one
13222954,197127,2021-12,623,3.704205571203823,first_active_bucket+relaxed_ask_bin,early,early,zero,one
17798153,211116,2021-12,623,3.7041893883822326,first_active_bucket+relaxed_ask_bin,early,early,zero,one
11410327,143725,2022-01,624,0.0,first_active_bucket+ask_bin,early,early,low,low
13440007,216229,2022-01,624,0.0,first_active_bucket+ask_bin,early,early,one,one
14487032,15434706,2022-01,624,0.4713886732191479,first_active_bucket+ask_bin,early,early,high,high
8613875,229864,2022-01,624,3.7225382135267577,first_active_bucket+relaxed_ask_bin,early,early,zero,one
13140723,108574,2022-01,624,3.7437947752607355,relaxed_first_active_bucket+relaxed_ask_bin,mid,early,zero,one
17819675,215847,2022-01,624,3.743778046009257,relaxed_first_active_bucket+relaxed_ask_bin,mid,early,zero,one
2293224,4262571,2022-02,625,0.0007064766576279994,first_active_bucket+ask_bin,early,early,mid,mid
8422170,5641061,2022-02,625,0.0,first_active_bucket+ask_bin,early,early,low,low
13887492,41977,2022-02,625,3.4937103818094895,first_active_bucket+relaxed_ask_bin,early,early,zero,one
5361456,228755,2022-02,625,3.4936930791205336,first_active_bucket+relaxed_ask_bin,early,early,zero,one
10750589,8426,2022-02,625,15.166363124293943,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
13679903,32840,2022-02,625,15.165685694397068,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
16441065,59313,2022-02,625,15.165008265310195,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
18131993,81036,2022-02,625,15.164330837033475,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
18281369,127480,2022-02,625,15.163653409567043,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
9606753,105539,2022-03,626,0.0,first_active_bucket+ask_bin,early,early,low,low
11175542,413306,2022-03,626,0.0,first_active_bucket+ask_bin,early,early,low,low
18427114,5024,2022-03,626,13.942001284156202,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
12659856,194000,2022-03,626,0.0,first_active_bucket+ask_bin,early,early,one,one
9557623,1341694,2022-03,626,3.3184542693076464,first_active_bucket+relaxed_ask_bin,early,early,zero,one
1165643,354979,2022-03,626,3.3184356916234123,first_active_bucket+relaxed_ask_bin,early,early,zero,one
11674282,11027,2022-03,626,13.941770048264381,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
12872310,92610,2022-03,626,0.0,first_active_bucket+ask_bin,early,early,one,one
16521679,8159,2022-03,626,0.0,first_active_bucket+ask_bin,early,early,one,one
13948970,52045,2022-03,626,13.94153881893099,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
17400364,80313,2022-03,626,13.9413075961571,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
18456801,120457,2022-03,626,13.941076379943777,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
18564668,120681,2022-03,626,13.9408451702921,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
13734323,1114465,2022-04,627,0.014001909006128311,first_active_bucket+ask_bin,early,early,mid,mid
15155716,15020312,2022-04,627,0.010166772848669918,first_active_bucket+ask_bin,early,early,high,high
9495110,13491606,2022-04,627,0.25844440178873684,first_active_bucket+ask_bin,early,early,mid,mid
12029329,1633272,2022-04,627,0.014000679429208768,first_active_bucket+ask_bin,early,early,mid,mid
17236260,974898,2022-04,627,0.0,first_active_bucket+ask_bin,early,early,mid,mid
18567298,8373,2022-04,627,9.617575348910604,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
15962483,179583,2022-04,627,0.0,first_active_bucket+ask_bin,early,early,one,one
13061113,22972,2022-04,627,9.617462907407841,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
12853807,105417,2022-04,627,9.61735046797317,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
16526660,268581,2022-04,627,0.0,first_active_bucket+ask_bin,early,early,one,one
18964259,119750,2022-04,627,9.617238030606845,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
934557,129674,2022-04,627,9.617125595309133,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
7876035,298336,2022-04,627,3.1142543479229796,first_active_bucket+relaxed_ask_bin,early,early,zero,one
12170558,161207,2022-04,627,9.617013162080294,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
7791036,46799,2022-05,628,2.9482855331904925,first_active_bucket+relaxed_ask_bin,early,early,zero,one
3847638,3344920,2022-05,628,0.0,first_active_bucket+ask_bin,early,early,low,low
15270591,228755,2022-05,628,2.9482750089561947,first_active_bucket+relaxed_ask_bin,early,early,zero,one
16253455,1361446,2022-05,628,0.0,first_active_bucket+ask_bin,early,early,one,one
3554721,44815,2022-05,628,7.8711677131760815,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
19005090,61966,2022-05,628,7.87109637638366,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
17966622,77248,2022-05,628,7.87102504056358,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
3546057,14731,2022-06,629,2.7538370477609844,first_active_bucket+relaxed_ask_bin,early,early,zero,one
955883,359353,2022-06,629,2.753812300526079,first_active_bucket+relaxed_ask_bin,early,early,zero,one
15181966,58945,2022-06,629,2.7537875533955964,first_active_bucket+relaxed_ask_bin,early,early,zero,one
2195440,6425936,2022-07,630,0.20337386147600378,first_active_bucket+ask_bin,early,early,mid,mid
12103619,11612,2022-07,630,0.0,first_active_bucket+ask_bin,early,early,one,one
15676082,104021,2022-07,630,2.5569858205464953,first_active_bucket+relaxed_ask_bin,early,early,zero,one
16648107,683741,2022-07,630,0.0,first_active_bucket+ask_bin,mid,mid,low,low
3200080,5754,2022-07,630,0.0,first_active_bucket+ask_bin,mid,mid,one,one
3749797,54427,2022-07,630,6.284455223133296,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
7489170,95869,2022-07,630,6.2844149841992225,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
12436533,111808,2022-07,630,6.284374745566522,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
12847837,129785,2022-07,630,6.284334507235217,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
19453849,161758,2022-07,630,6.284294269205334,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
19489827,185565,2022-07,630,6.284254031476897,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
19564052,198145,2022-07,630,6.284213794049929,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
19594835,300187,2022-07,630,6.2841735569244594,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
13297517,27404,2022-08,631,2.6175815263249564,first_active_bucket+relaxed_ask_bin,early,early,zero,one
1672528,4594,2022-08,631,0.0,first_active_bucket+ask_bin,mid,mid,one,one
19833416,8678,2022-08,631,5.929812037210489,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
15152059,9645,2022-08,631,5.929775063847197,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
8084141,27090,2022-08,631,5.929738090749444,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
12876043,91697,2022-08,631,5.9297011179172525,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
18267127,149166,2022-08,631,5.929664145350644,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
19829330,166700,2022-08,631,5.929627173049639,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
19872258,250250,2022-08,631,5.92959020101426,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
395857,3705840,2022-09,632,0.0,first_active_bucket+ask_bin,early,early,low,low
17646343,11055151,2022-09,632,6.456985313773445,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
11928815,699,2022-09,632,5.731442921335145,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
11677975,18020461,2022-09,632,0.0016695458317837258,first_active_bucket+ask_bin,mid,mid,mid,mid
7619808,56952,2022-09,632,0.0,first_active_bucket+ask_bin,early,early,one,one
14022747,27404,2022-09,632,2.648460114742342,first_active_bucket+relaxed_ask_bin,early,early,zero,one
13615502,271388,2022-09,632,0.0,first_active_bucket+ask_bin,early,early,low,low
14156907,525271,2022-09,632,0.0,first_active_bucket+ask_bin,early,early,one,one
4455216,2246,2022-09,632,5.732368853245045,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
8857812,24762,2022-09,632,5.732333435170351,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
12127131,38908,2022-09,632,5.732298017311653,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
16124107,173748,2022-09,632,5.732262599668972,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
18521180,229181,2022-09,632,5.732227182242319,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
19865050,234401,2022-09,632,5.732191765031711,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
20084973,242684,2022-09,632,5.732156348037167,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
18426731,66878,2022-10,633,5.584571696545271,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
4993010,134830,2022-10,633,2.7150812137803033,first_active_bucket+relaxed_ask_bin,early,early,zero,one
5157277,484082,2022-10,633,2.71504384379699,first_active_bucket+relaxed_ask_bin,early,early,zero,one
17083836,112637,2022-10,633,0.0,first_active_bucket+ask_bin,mid,mid,one,one
18083874,169640,2022-10,633,5.334742453771143,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
9685614,182919,2022-10,633,5.58447202680328,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
20180306,215733,2022-10,633,5.584436953306881,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
20185368,258662,2022-10,633,5.5844018800012725,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
20206790,266949,2022-10,633,5.584366806886473,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
20265876,295264,2022-10,633,5.584331733962492,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
20378708,309852,2022-10,633,5.584296661229345,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
139150,9776699,2022-11,634,0.005589335702713848,first_active_bucket+ask_bin,early,early,mid,mid
15430546,1572469,2022-11,634,0.0,first_active_bucket+ask_bin,early,early,low,low
11805611,304684,2022-11,634,2.753267967149008,first_active_bucket+relaxed_ask_bin,early,early,zero,one
310370,569976,2022-11,634,0.0005974788103555227,first_active_bucket+ask_bin,early,early,mid,mid
15779063,8345,2022-11,634,0.0,first_active_bucket+ask_bin,early,early,one,one
12827843,581157,2022-11,634,2.7534775718940296,first_active_bucket+relaxed_ask_bin,early,early,zero,one
19152117,246241,2022-11,634,0.0,first_active_bucket+ask_bin,mid,mid,low,low
16920053,610375,2022-11,634,2.753437801838277,first_active_bucket+relaxed_ask_bin,early,early,zero,one
608397,204,2022-11,634,0.0,first_active_bucket+ask_bin,mid,mid,one,one
19416518,73027,2022-11,634,5.5020879884391,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
320738,152128,2022-11,634,5.502052808683057,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
380587,209623,2022-11,634,5.502017629072807,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
18466702,213871,2022-11,634,5.501982449608361,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
19431070,244970,2022-11,634,5.501947270289727,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
20535889,251527,2022-11,634,5.501912091116912,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
20543408,320322,2022-11,634,5.501876912089932,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
1152980,29798,2022-12,635,0.0,first_active_bucket+ask_bin,early,early,one,one
7339624,7180194,2022-12,635,0.0625243235073447,first_active_bucket+ask_bin,early,early,mid,mid
7158458,10715551,2022-12,635,0.07791238830672416,first_active_bucket+ask_bin,early,early,high,high
8124392,7916257,2022-12,635,0.11466704626996033,first_active_bucket+ask_bin,early,early,high,high
11664580,3878760,2022-12,635,0.035207172310888796,first_active_bucket+ask_bin,early,early,mid,mid
5721937,12707114,2022-12,635,0.23229900148425084,first_active_bucket+ask_bin,early,early,mid,mid
14607802,4475666,2022-12,635,0.06784822962152148,first_active_bucket+ask_bin,early,early,mid,mid
17768046,15781662,2022-12,635,0.0,first_active_bucket+ask_bin,early,early,mid,mid
18002337,17159214,2022-12,635,0.023658820929901396,first_active_bucket+ask_bin,mid,mid,mid,mid
2851791,93796,2022-12,635,2.791527725581534,first_active_bucket+relaxed_ask_bin,early,early,zero,one
13745926,355931,2022-12,635,2.7914852567591972,first_active_bucket+relaxed_ask_bin,early,early,zero,one
18206236,710162,2022-12,635,5.280786935733872,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
12341397,4752223,2022-12,635,0.0,first_active_bucket+ask_bin,early,early,low,low
8305252,82333,2022-12,635,0.0,first_active_bucket+ask_bin,early,early,one,one
14820237,8345,2022-12,635,0.0,first_active_bucket+ask_bin,early,early,one,one
18678344,2079023,2022-12,635,0.0,first_active_bucket+ask_bin,mid,mid,low,low
6288172,172750,2022-12,635,0.0,first_active_bucket+ask_bin,early,early,one,one
9508934,477842,2022-12,635,2.7912636391793337,first_active_bucket+relaxed_ask_bin,early,early,zero,one
20628857,87240,2022-12,635,5.465592085838307,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
11193936,14590914,2022-12,635,0.012056924980629288,first_active_bucket+ask_bin,early,early,low,low
4871367,782400,2022-12,635,2.791169424371688,first_active_bucket+relaxed_ask_bin,early,early,zero,one
19311647,6976,2022-12,635,0.0,first_active_bucket+ask_bin,mid,mid,one,one
12792811,270572,2022-12,635,5.465519611939183,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
14519611,257924,2022-12,635,2.791126954891174,first_active_bucket+relaxed_ask_bin,early,early,zero,one
19172874,123441,2022-12,635,5.280632824586326,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
19954570,66878,2022-12,635,0.0,first_active_bucket+ask_bin,mid,mid,one,one
20497213,7018,2022-12,635,0.0,first_active_bucket+ask_bin,mid,mid,one,one
20805438,276093,2022-12,635,5.465375313947902,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
1689919,301897,2022-12,635,5.465339888978802,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
1889865,389828,2022-12,635,5.465304464117748,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
4864195,396266,2022-12,635,5.465269039364757,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
7954236,571531,2022-12,635,5.465233614719826,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
10498361,577202,2022-12,635,5.465198190182966,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
13824584,680288,2022-12,635,5.465162765754181,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
18060279,690965,2022-12,635,5.465127341433477,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
19741242,719794,2022-12,635,5.465091917220866,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
19881860,735890,2022-12,635,5.4650564931163474,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
20695949,814830,2022-12,635,5.465021069119929,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
20717038,963182,2022-12,635,5.4649856452316214,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
20739566,991770,2022-12,635,5.46495022145143,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
20802280,1066820,2022-12,635,5.464914797779356,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
6792327,225262,2023-01,636,2.8362830785564923,first_active_bucket+relaxed_ask_bin,early,early,zero,one
17300847,169640,2023-01,636,5.329250188265673,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
12509961,27153,2023-01,636,5.492351023016855,first_active_bucket+relaxed_ask_bin,mid,mid,zero,one
1497720,10437727,2023-01,636,0.3482822781514154,first_active_bucket+ask_bin,early,early,high,high
